,show_id,type,title,cast,release_year,rating,duration,listed_in,new_country,first_cast,main_listed_in
927,s928,Movie,Billy Elliot,"Jamie Bell, Gary Lewis, Stuart Wells, Billy Fane, Colin MacLachlan, Nicola Blackwell, Carol McGuigan, Joe Renton, Janine Birkett, Charlie Hardwick, Mike Elliot, Jean Heywood, Jamie Draven, Julie Walters, Trevor Fox, Adam Cooper",2000,R,110 min,"Dramas, Independent Movies, International Movies",United Kingdom,Jamie Bell,Dramas
928,s929,Movie,Billy Graham: An Extraordinary Journey,"Billy Graham, Jeff Hoyt, Tom Brokaw, Greta Van Susteren, Diane Sawyer, Larry King, George Bush Sr., George W. Bush, Bill Clinton, Franklin Graham",2018,TV-PG,66 min,"Documentaries, Faith & Spirituality",United States,Billy Graham,Documentaries
929,s930,TV Show,Billy on the Street,Billy Eichner,2016,TV-14,4 Seasons,"International TV Shows, Reality TV, TV Comedies",United States,Billy Eichner,International TV Shows
930,s931,Movie,Bilu Rakkhosh,"Joy Sengupta, Koneenica Banerjee, Kanchana Moitra, Pradip Mukherjee",2017,TV-MA,127 min,"Dramas, International Movies",India,Joy Sengupta,Dramas
931,s932,TV Show,Biohackers,"Luna Wedler, Jessica Schwarz, Adrian Julius Tillmann, Thomas Prenn, Jing Xiang, Caro Cult, Sebastian Jakob Doppelbauer",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Germany,Luna Wedler,International TV Shows
932,s933,Movie,Bioscope,"Nina Kulkarni, Suhas Palshikar, Kushal Badrike, Spruha Joshi, Mangesh Desai, Smita Tambe, Veena Jamkar, Sandeep Khare",2015,TV-14,131 min,"Dramas, International Movies, LGBTQ Movies",India,Nina Kulkarni,Dramas
933,s934,Movie,Bir Baba Hindu,"Sermiyan Midyat, Şafak Sezer, Nicole Faria, Burak Satıbol",2016,TV-MA,107 min,"Action & Adventure, Comedies, International Movies",Turkey,Sermiyan Midyat,Action & Adventure
934,s935,Movie,Bird Box,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson, BD Wong, Jacki Weaver, Rosa Salazar, Danielle Macdonald, Lil Rel Howery, Tom Hollander",2018,R,124 min,"Dramas, Sci-Fi & Fantasy, Thrillers",United States,Sandra Bullock,Dramas
936,s937,Movie,Birdshot,"Mary Joy Apostol, Arnold Reyes, Ku Aquino, John Arcilla, Dido Dela Paz, Elora Espano, Ronnie Quizon, Rolando T. Inocencio, Suzette Ranillo, Angelica C. Ferro",2016,TV-MA,115 min,"Dramas, International Movies, Thrillers",Philippines,Mary Joy Apostol,Dramas
937,s938,Movie,Birthmarked,"Toni Collette, Matthew Goode, Andreas Apergis, Michael Smiley, Fionnula Flanagan, Suzanne Clément, Jordan Poole, Megan O'Kelly, Anton Gillis-Adelman, Tyrone Benskin, Vincent Hoss-Desmarais",2018,TV-MA,88 min,"Comedies, Independent Movies, International Movies",Canada,Toni Collette,Comedies
938,s939,Movie,Bitch,"Jason Ritter, Jaime King, Marianna Palka, Brighton Sharbino, Rio Mangini, Jason Maybaum, Kingston Foster, Arielle Kebbel, Martin Starr, Roger Guenveur Smith, Caroline Aaron, Bill Smitrovich",2017,R,97 min,"Comedies, Dramas, Independent Movies",United States,Jason Ritter,Comedies
939,s940,Movie,Bitcoin Heist,"Kate Nhung, Thanh Pham, Petey Majik Nguyen, Suboi, Jayvee Mai The Hiep, Lam Thanh My",2016,TV-14,116 min,"Action & Adventure, Comedies, International Movies",Vietnam,Kate Nhung,Action & Adventure
940,s941,TV Show,Bitten,"Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund, Paul Greene, Michael Xavier, Genelle Williams",2016,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Horror",Canada,Laura Vandervoort,International TV Shows
941,s942,TV Show,Bitter Daisies,"María Mera, Toni Salgado, Miquel Insua, Denis Gómez, Lucía Álvarez, Sara Sanz, Jimmy Núñez, Paloma Saavedra, Manuel Cortés, Yelena Molina, Ricardo de Barreiro, Nerea Barros, Santiago Cuquejo, Martina Stetson, Carlos Villarino",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Spain,María Mera,Crime TV Shows
942,s943,Movie,Bittersweet,"Ahmed Helmy, Lotfy Labib, Edward, Enaam Salousa",2010,TV-MA,132 min,"Comedies, Dramas, International Movies",Egypt,Ahmed Helmy,Comedies
943,s944,Movie,Bittoo Boss,"Pulkit Samrat, Ashok Pathak, Tanvir Singh, Amita Pathak, Sunil Shetty, Rajendra Sethi, Mohan Kapoor",2012,TV-14,117 min,"Comedies, Dramas, International Movies",India,Pulkit Samrat,Comedies
944,s945,Movie,Black,"Soham Chakraborty, Bidya Sinha Mim, Ashish Vidyarthi, Rajatabha Dutta, Rudranil Ghosh, Kharaj Mukherjee",2015,TV-14,137 min,"Action & Adventure, International Movies",India,Soham Chakraborty,Action & Adventure
945,s946,Movie,Black '47,"Hugo Weaving, James Frecheville, Stephen Rea, Freddie Fox, Barry Keoghan, Moe Dunford, Sarah Greene, Jim Broadbent",2018,R,100 min,"Action & Adventure, Dramas, Independent Movies",Ireland,Hugo Weaving,Action & Adventure
946,s947,Movie,Black & Privileged: Volume 1,"Dawnisha Halfkenny, Simeon Henderson, Corey Hendrix, Malcom Banks, Nadia Simms, Brian White, Brely Evans, Cynda Williams, Carl Anthony Payne II",2019,TV-MA,79 min,Dramas,United States,Dawnisha Halfkenny,Dramas
947,s948,TV Show,Black Butler,"Daisuke Ono, Maaya Sakamoto, Hiroki Touchi, Yuki Kaji, Emiri Kato, Koji Yusa, Shunji Fujimura, Yukari Tamura, Romi Park, Jun Fukuyama",2010,TV-MA,3 Seasons,"Anime Series, International TV Shows",Japan,Daisuke Ono,Anime Series
948,s949,TV Show,Black Crows,"Rashed Al Shamrani, Sayed Rajab, Dina Talaat, Mohamad Al Ahmad, Maram Al Bloushi, Mahmoud Bu Shehri, Aseel Omran, Mona Shaddad, Azeez Khayoun, Ayman Mabrouk, Eisa Diab, Dima Al Jundi",2017,TV-14,1 Season,"International TV Shows, TV Dramas",Saudi Arabia,Rashed Al Shamrani,International TV Shows
949,s950,TV Show,Black Earth Rising,"Michaela Coel, John Goodman, Abena Ayivor, Noma Dumezweni, Ronald Guttman, Danny Sapani, Harriet Walter, Tyrone Huggins, Emmanuel Imani, Lucian Msamati, Tamara Tunie",2018,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas",United Kingdom,Michaela Coel,British TV Shows
950,s951,Movie,Black Friday,"Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun",2004,TV-MA,162 min,"Dramas, International Movies",India,Pavan Malhotra,Dramas
951,s952,Movie,Black Hawk Down,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner, Ewen Bremner, Sam Shepard, Gabriel Casseus, Kim Coates, Hugh Dancy, Ron Eldard, Ioan Gruffudd, Tom Guiry, Charlie Hofheimer, Danny Hoch, Jason Isaacs, Zeljko Ivanek, Glenn Morshower, Jeremy Piven, Brendan Sexton III",2001,R,144 min,"Action & Adventure, Dramas",United States,Josh Hartnett,Action & Adventure
952,s953,TV Show,Black Heart,"Barış Kılıç, Tuvana Türkay, Serhat Tutumluer, Gülçin Santırcıoğlu, Kenan Bal",2014,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Turkey,Barış Kılıç,Crime TV Shows
953,s954,TV Show,Black Ink Crew New York,"Ceaser Emanuel, Dutchess Lattimore, Puma Robinson, Alex Estevez, Sassy Bermudez",2014,TV-14,2 Seasons,Reality TV,United States,Ceaser Emanuel,Reality TV
954,s955,TV Show,Black Lightning,"Cress Williams, James Remar, Marvin 'Krondon' Jones III, Jill Scott, China Anne McClain, Damon Gupton, Nafessa Williams, Christine Adams",2019,TV-14,3 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",United States,Cress Williams,TV Action & Adventure
956,s957,TV Show,Black Mirror,"Jesse Plemons, Cristin Milioti, Jimmi Simpson, Rosemarie DeWitt, Douglas Hodge, Andrea Riseborough, Brenna Harding, Owen Teague, Andrew Gower, Kiran Sonia Sawar, Georgina Campbell, Joe Cole, Maxine Peake, Jake Davies, Clint Dyer, Letitia Wright, Babs Olusanmokun, Bryce Dallas Howard, Alice Eve, Michael Kelly, Cherry Jones, Gugu Mbatha-Raw, Mackenzie Davis, Wyatt Russell, Benedict Wong, Kelly Macdonald, Faye Marsay, Madeline Brewer, Hannah John-Kamen, Malachi Kirby, Alex Lawther, Jerome Flynn, James Norton, Rory Kinnear, Lindsay Duncan, Daniel Kaluuya, Jessica Brown Findlay, Rupert Everett, Toby Kebbell, Jodie Whittaker, Hayley Atwell, Domhnall Gleeson, Lenora Crichlow, Michael Smiley, Daniel Rigby, Chloe Pirrie, Jason Flemyng, Jon Hamm, Oona Chaplin, Rafe Spall",2019,TV-MA,5 Seasons,"British TV Shows, International TV Shows, TV Dramas",United Kingdom,Jesse Plemons,British TV Shows
957,s958,Movie,Black Mirror: Bandersnatch,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry",2018,TV-MA,312 min,"Dramas, International Movies, Sci-Fi & Fantasy",United States,Fionn Whitehead,Dramas
958,s959,TV Show,Black Money Love,"Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci",2014,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Turkey,Güler Ökten,Crime TV Shows
959,s960,Movie,Black Panther,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",2018,PG-13,135 min,"Action & Adventure, Sci-Fi & Fantasy",United States,Chadwick Boseman,Action & Adventure
960,s961,Movie,Black Rose,"Alexander Nevsky, Kristanna Loken, Adrian Paul, Robert Davi, Robert Madrid, Matthias Hues, Oksana Sidorenko, Emmanuil Vitorgan, Olga Rodionova, Polina Butorina",2014,TV-MA,83 min,"Action & Adventure, International Movies",Russia,Alexander Nevsky,Action & Adventure
961,s962,Movie,Black Sea,"Jude Law, Scoot McNairy, Ben Mendelsohn, Bobby Schofield, Tobias Menzies, Michael Smiley, Grigoriy Dobrygin, David Threlfall, Jodie Whittaker, Karl Davies",2015,R,114 min,"Action & Adventure, Dramas, International Movies",United Kingdom,Jude Law,Action & Adventure
962,s963,Movie,Black Site Delta,"Cam Gigandet, Teri Reeves, Michael Dale, Dion Mucciacito, Casey Hendershot, Benjamin Charles Watson, John Brodsky, Arash Mokhtar",2017,TV-MA,88 min,Action & Adventure,United States,Cam Gigandet,Action & Adventure
963,s964,Movie,Black Snake Moan,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams",2007,R,116 min,"Dramas, Independent Movies",United States,Samuel L. Jackson,Dramas
964,s965,Movie,Black Snow,"Ricardo Darín, Leonardo Sbaraglia, Laia Costa, Federico Luppi, Dolores Fonzi, Andrés Herrera",2017,TV-MA,91 min,"Dramas, International Movies, Thrillers",Argentina,Ricardo Darín,Dramas
965,s966,TV Show,Black Spot,"Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy, Renaud Rutten, Camille Aguilar, Tiphaine Daviot, Naidra Ayadi, Brigitte Sy, Anne Suarez, Dan Herzberg, Olivier Bonjour, Thomas Doret",2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",France,Suliane Brahim,Crime TV Shows
966,s967,TV Show,Black Summer,"Jaime King, Justin Chu Cary, Christine Lee, Sal Velez Jr., Kelsey Flower, Erika Hau, Edsson Morales, Gwynyth Walsh, Stafford Perry, Mustafa Alabssi",2019,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Horror",Canada,Jaime King,TV Action & Adventure
968,s969,Movie,BLACKPINK: Light Up the Sky,Blackpink,2020,TV-14,80 min,"Documentaries, Music & Musicals",United States,Blackpink,Documentaries
969,s970,Movie,Blackway,"Anthony Hopkins, Julia Stiles, Alexander Ludwig, Ray Liotta, Hal Holbrook, Lochlyn Munro, Steve Bacic, Aaron Pearl, Aleks Paunovic",2015,PG-13,90 min,Thrillers,United States,Anthony Hopkins,Thrillers
970,s971,Movie,BLAME!,"Takahiro Sakurai, Kana Hanazawa, Sora Amamiya, Kazuhiro Yamaji, Mamoru Miyano, Aya Suzaki, Nobunaga Shimazaki, Yuki Kaji, Aki Toyosaki, Saori Hayami",2017,TV-14,106 min,"Action & Adventure, Anime Features, International Movies",Japan,Takahiro Sakurai,Action & Adventure
971,s972,Movie,Blaze,"Benjamin Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton, Sam Rockwell, Wyatt Russell, Steve Zahn, Kris Kristofferson, Richard Linklater, David Kallaway, Ritchie Montgomery",2018,R,129 min,"Dramas, Independent Movies, Music & Musicals",United States,Benjamin Dickey,Dramas
972,s973,TV Show,Blazing Transfer Students,"Daiki Shigeoka, Akito Kiriyama, Junta Nakama, Tomohiro Kamiyama, Ryusei Fujii, Takahiro Hamada, Nozomu Kotaki, Umika Kawashima, Takeshi Kaga, Norio Wakamoto",2017,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",Japan,Daiki Shigeoka,International TV Shows
973,s974,TV Show,Bleach,"Masakazu Morita, Fumiko Orikasa, Yuki Matsuoka, Noriaki Sugiyama, Hiroki Yasumoto, Kentaro Ito, Ryotaro Okiayu",2006,TV-14,5 Seasons,"Anime Series, International TV Shows",Japan,Masakazu Morita,Anime Series
974,s975,Movie,Bleach The Movie: Fade to Black,"Masakazu Morita, Fumiko Orikasa, Aya Hirano, Hiroshi Kamiya, Mitsuaki Madono, Ryotaro Okiayu, Kentaro Ito, Shinichiro Miki, Satsuki Yukino, Masaaki Tsukada",2008,TV-PG,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",Japan,Masakazu Morita,Action & Adventure
975,s976,Movie,Bleach the Movie: Hell Verse,"Masakazu Morita, Fumiko Orikasa, Kazuya Nakai, Noriaki Sugiyama, Kentarô Itô, Yuki Matsuoka, Ryotaro Okiayu, Romi Park",2010,TV-14,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",Japan,Masakazu Morita,Action & Adventure
976,s977,Movie,Bleed for This,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds, Ted Levine, Jordan Gelber, Amanda Clayton, Daniel Sauli, Christine Evangelista, Tina Casciani",2016,R,120 min,"Dramas, Sports Movies",United States,Miles Teller,Dramas
977,s978,Movie,Blessed Benefit,"Ahmad Thaher, Maher Khammash, Odai Hijazi, Nadeem Rimawi, Mahmoud al Massad, Nadim Mushahwar",2016,TV-14,83 min,"Comedies, Dramas, International Movies",Germany,Ahmad Thaher,Comedies
978,s979,Movie,Blind Date,"Mélanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, Grégoire Oestermann, Oscar Copp, Boris Terral, Manu Payet",2015,TV-14,91 min,"Comedies, International Movies, Music & Musicals",France,Mélanie Bernier,Comedies
979,s980,Movie,Blind Detective,"Andy Lau, Sammi Cheng, Gao Yuanyuan, Guo Tao, Philip Keung, Lam Suet, Lo Hoi-pang, Tai-Lo Ma, Man-Wai Wong, Ying-Ying Yiu, Yi Zi",2013,TV-MA,130 min,"Action & Adventure, Comedies, International Movies",Hong Kong,Andy Lau,Action & Adventure
981,s982,Movie,Blinky Bill: The Movie,"Ryan Kwanten, Rufus Sewell, Toni Collette, Robin McLeavy, David Wenham, Barry Humphries, Richard Roxburgh, Deborah Mailman, Barry Otto",2015,PG,91 min,Children & Family Movies,Australia,Ryan Kwanten,Children & Family Movies
982,s983,Movie,Blitz Patrollie,"Joey Rasdien, David Kau, David Kibuuka, Chris Forrest, Santhiran Moonsamy, Quentin Krog, Kaseran Pillay, Mabutho Sithole, Mel Miller, Kagiso Lediga, Craig Urbani",2013,TV-MA,102 min,"Action & Adventure, Comedies, International Movies",South Africa,Joey Rasdien,Action & Adventure
983,s984,Movie,Blockbuster,"Syrus Shahidi, Lionel Abelanski, Charlotte Gabris, Tom Hygreck, Sylvain Quimene, Laura Boujenah, Foed Amara",2017,TV-MA,85 min,"Comedies, Independent Movies, International Movies",France,Syrus Shahidi,Comedies
984,s985,TV Show,Blood & Treasures,"Nawat Kulrattanarak, Woranuch Wongsawan, Jespipat Tilapornputt, Paramej Noiam, Phutharit Prombandal",2016,TV-14,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Thailand,Nawat Kulrattanarak,International TV Shows
985,s986,TV Show,Blood & Water,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",South Africa,Ama Qamata,International TV Shows
986,s987,Movie,Blood Father,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks, William H. Macy, Miguel Sandoval, Dale Dickey, Richard Cabral, Daniel Moncada, Ryan Dorsey",2016,R,88 min,"Action & Adventure, International Movies",France,Mel Gibson,Action & Adventure
987,s988,Movie,Blood Money,"Manish Chaudhary, Kunal Kemmu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",2012,TV-14,110 min,"Dramas, International Movies, Romantic Movies",India,Manish Chaudhary,Dramas
988,s989,TV Show,Blood of Zeus,"Derek Phillips, Jason O'Mara, Claudia Christian, Mamie Gummer, Jessica Henwick, Elias Toufexis, Chris Diamantopoulos, Adetokumboh M'Cormack, Matthew Mercer, Melina Kanakaredes, Danny Jacobs, Matt Lowe, Adam Croasdell, Jennifer Hale, David Shaughnessy, Fred Tatasciore, Vanessa Marshall",2020,TV-MA,1 Season,Anime Series,United States,Derek Phillips,Anime Series
989,s990,TV Show,Blood Pact,"Guilherme Fontes, Ravel Cabral, Jonathan Haagensen, André Ramiro, Adriano Garib, Mel Lisboa, Cristina Lago",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Brazil,Guilherme Fontes,Crime TV Shows
990,s991,Movie,Blood Will Tell,"Oscar Martínez, Dolores Fonzi, Diego Velázquez, Paulina Garcia, Luis Gnecco, Malena Sánchez, Emilio Vodanovich, Norman Briski",2019,TV-MA,113 min,"Dramas, Independent Movies, International Movies",Argentina,Oscar Martínez,Dramas
991,s992,TV Show,Bloodline,"Kyle Chandler, Ben Mendelsohn, Sissy Spacek, Linda Cardellini, Norbert Leo Butz, Jacinda Barrett, Jamie McShane, John Leguizamo, Enrique Murciano, Sam Shepard, Chloë Sevigny, Andrea Riseborough, Beau Bridges, Taylor Rouviere, Owen Teague, Brandon Larracuente",2017,TV-MA,3 Seasons,"TV Dramas, TV Mysteries, TV Thrillers",United States,Kyle Chandler,TV Dramas
992,s993,TV Show,Bloodride,"Ine Marie Wilmann, Bjørnar Teigen, Emma Spetalen Magnusson, Erlend Rødal Vikhagen, Benjamin Helstad, Harald Rosenstrøm, Dagny Backer Johnsen, Stig Amdam, Numa Edema Norderhaug, Ellen Bendu, Torfinn Nag",2020,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries",Norway,Ine Marie Wilmann,International TV Shows
993,s994,Movie,Blow,"Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta",2001,R,123 min,Dramas,United States,Johnny Depp,Dramas
995,s996,TV Show,Blue Exorcist,"Nobuhiko Okamoto, Jun Fukuyama, Kana Hanazawa, Kazuya Nakai, Koji Yusa, Yuki Kaji, Eri Kitamura, Ayahi Takagaki, Rina Satou, Daisuke Ono, Ryotaro Okiayu, Tetsuya Kakihara, Hiroshi Kamiya, Keiji Fujiwara, Hiroaki Hirata, Jin Urayama, Katsuyuki Konishi, Kisho Taniyama, M・A・O, Kazuhiro Yamaji, Hideyuki Tanaka, Masaki Terasoma, Naomi Shindo",2017,TV-MA,2 Seasons,"Anime Series, International TV Shows",Japan,Nobuhiko Okamoto,Anime Series
996,s997,Movie,Blue Is the Warmest Color,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing, Catherine Salée, Benjamin Siksou, Mona Walravens, Alma Jodorowsky, Jérémie Laheurte, Anne Loiret, Benoît Pilot, Sandor Funtek, Fanny Maurin",2013,NC-17,180 min,"Dramas, Independent Movies, International Movies",France,Léa Seydoux,Dramas
997,s998,Movie,Blue Jasmine,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Louis C.K., Bobby Cannavale, Andrew Dice Clay, Peter Sarsgaard, Michael Stuhlbarg, Tammy Blanchard, Max Casella, Alden Ehrenreich",2013,PG-13,98 min,"Comedies, Dramas, Independent Movies",United States,Cate Blanchett,Comedies
998,s999,Movie,Blue Jay,"Sarah Paulson, Mark Duplass, Clu Gulager",2016,TV-MA,81 min,"Dramas, Independent Movies, Romantic Movies",United States,Sarah Paulson,Dramas
999,s1000,Movie,Blue Mountain State: The Rise of Thadland,"Alan Ritchson, Darin Brooks, James Cade, Rob Ramsay, Chris Romano, Frankie Shaw, Omari Newton, Ed Marinaro, Dhani Jones, Ed Amatrudo, Jimmy Tatro",2016,R,90 min,Comedies,United States,Alan Ritchson,Comedies
1000,s1001,TV Show,Blue Planet II,David Attenborough,2017,TV-G,1 Season,"British TV Shows, Docuseries, Science & Nature TV",United Kingdom,David Attenborough,British TV Shows
1001,s1002,Movie,Blue Ruin,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb, David W. Thompson, Brent Werzner, Stacy Rock, Sidné Anderson, Sandy Barnett, Bonnie Johnson",2013,R,90 min,"Independent Movies, Thrillers",United States,Macon Blair,Independent Movies
1002,s1003,Movie,Blue Streak,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle, Nicole Ari Parker, Graham Beckel, Robert Miranda, Olek Krupa, Saverio Guerra, Richard C. Sarafian, William Forsythe",1999,PG-13,94 min,"Action & Adventure, Comedies",Germany,Martin Lawrence,Action & Adventure
1003,s1004,Movie,Blue Valentine,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham",2010,R,112 min,"Dramas, Independent Movies, Romantic Movies",United States,Ryan Gosling,Dramas
